Syllabus Ref	Q. Num	Chapter Description	Section Description	Mock Question	Stem Graphic	Answer	Answer Status	Correct Answer	Match Formula
2C1	7	Resistance	Section 2 – Technical aspects	The correct formula relating the voltage, V,  the current, I, and the resistance R is A. R = V - I B. R = V × I C. R = I / V D. R = V / I			Please type in an answer...	D	FALSE
2C2	7	Resistance	Section 2 – Technical aspects	The voltage across three resistors connected in series is 5 volts, 10 volts and 20 volts respectively. The total voltage across all three resistors is A. 5 volts B. 10 volts. C. 20 volts. D. 35 volts.			Please type in an answer...	D	FALSE
2C4	7	Resistance	Section 2 – Technical aspects	Which of the following will work normally when connected to a battery of the correct voltage regardless of battery polarity? A. Incandescent lamp B. Radio receiver C. LED lamp D. Pocket Calculator			Please type in an answer...	A	FALSE
2E1	8	AC Theory	Section 2 – Technical aspects	What is the significant difference between AC and DC? A. Direct currents are always greater than alternating currents. B. Direct currents take a long time to change direction. C. Alternating currents are continually changing direction. D. Alternating currents have a fixed polarity			Please type in an answer...	C	FALSE
2E2	8	AC Theory	Section 2 – Technical aspects	The frequency 50MHz is A. LF B. HF C. VHF D. UHF			Please type in an answer...	C	FALSE
2E7	8	AC Theory	Section 2 – Technical aspects	A frequency of 100 MHz has a wavelength of A. 3 metres. B. 30 metres. C. 0.3 metres. D. 300 metres.			Please type in an answer...	A	FALSE
2F1	9	Digital signals	Section 2 – Technical aspects	Digital signals are A. constantly changing in amplitude, frequency or both. B. astream of finite values at a specific sampling interval. C. totally immune to interference. D. created by a Digital to Analogue converter.			Please type in an answer...	B	FALSE
2F2	9	Digital signals	Section 2 – Technical aspects	An Analogue to Digital Converter (ADC) A. represents a digitial signal in analogue format  B. samples an analogue signal and creates a digital representation of it C. changes audio signals to RF D. is an optional component in a Software defined radio			Please type in an answer...	B	FALSE
2J1	8	Cells and power supplier	Section 2 – Technical aspects	A secondary battery A. cannot be  recharged. B. may be recharged. C. undergoes a chemical process that cannot be reversed. D. consists of a single cell.			Please type in an answer...	B	FALSE
3A1	10	Transmitter concepts	Section 3 – Transmitters and receivers	Adding information to a radio frequency carrier is known as A. transmission. B. tuning. C. amplification. D. modulation.			Please type in an answer...	D	FALSE
3A2	10	Transmitter concepts	Section 3 – Transmitters and receivers	Audio or data information is combined with  a radio frequency carrier in which stage of a transmitter? A. Microphone Amplifier. B. Modulator. C. RF Power amplifier. D. AF power amplifier.			Please type in an answer...	B	FALSE
3A3	10	Transmitter concepts	Section 3 – Transmitters and receivers	When radio frequencies are mixed with audio frequencies, the new frequencies that are generated are called A. fundamentals B. harmonics C. sidebands D. carriers			Please type in an answer...	C	FALSE
3A4	10	Transmitter concepts	Section 3 – Transmitters and receivers	The bottom waveform in the diagram shows A. an audio wave. B. acarrier wave. C. an amplitude modulated wave. D. a frequency modulated wave.			Please type in an answer...	D	FALSE
3B1	11	Transmitter architecture	Section 3 – Transmitters and receivers	What is the function of the box marked 2 in the diagram? A. RF power amplifier B. Oscilator C. Modulator. D. AF Amplifier			Please type in an answer...	C	FALSE
3C1	11	Oscilators	Section 3 – Transmitters and receivers	Incorrect setting of the oscillator in a transmitter may cause A. damage to the power supply. B. distortion to the transmitted signal. C. damage to the antenna. D. transmitting on the wrong frequency.			Please type in an answer...	D	FALSE
3E1	11	Microphone amplifiers and modulators	Section 3 – Transmitters and receivers	If the microphone gain is set too high on a transmitter A. the antenna could be damaged. B. interference could be caused on adjacent channels. C. the supply fuse will fail D. the operator could get an electric shock from the microphone			Please type in an answer...	B	FALSE
3F1	11	RF power amplifiers	Section 3 – Transmitters and receivers	The RF power amplifier A. takes the signal from the microphone and amplifies it to a suitable level B. amplifies the low power modulated radio signal to suitable level to feed the antenna C. converts the mains supply to a suitable voltage to be used by the transmitter D. ensures the transmitter is radiating on the correct frequency.			Please type in an answer...	B	FALSE
3F3	11	RF power amplifiers	Section 3 – Transmitters and receivers	If the transmitter's RF power amplifier output is not connected to a correctly matched antenna A. the antenna can be damaged. B. SWR will be too low. C. interference will be caused on adjacent channels. D. the transmitter can be damaged.			Please type in an answer...	D	FALSE
3G1	11	Transmitter interference	Section 3 – Transmitters and receivers	Too much audio gain is likely to cause a transmitter to A. stop working. B. Increase the SWR. C. interfere with other bands. D. interfere with adjacent frequencies.			Please type in an answer...	D	FALSE
3H1	12	Receiver conceprs	Section 3 – Transmitters and receivers	Recovering the original information from a received radio signal is called A. demodulation. B. modulation. C. filtering. D. oscilating.			Please type in an answer...	A	FALSE
3H2	12	Receiver conceprs	Section 3 – Transmitters and receivers	In the diagram shown, which block recovers the audio signal from the RF carrier A. Block 1 B. Block 2 C. Block 3 D. Block 4			Please type in an answer...	B	FALSE
3K1	12	Demodulation	Section 3 – Transmitters and receivers	In a receiver, the demodulator A.  recovers the original information from the received signal. B. amplifies the received signal so that it can be heard through the loudspeaker. C. mixes the audio signal with the frequency from the local oscilator. D. matches the antenna to the transmitter.			Please type in an answer...	A	FALSE
3M1	12	SDR transmitters and receivers	Section 3 – Transmitters and receivers	In a Software Defined Radio, demodulation is carried our by A. a diode detector B. the RF amplified C. the local oscilator D. mathematical processes			Please type in an answer...	D	FALSE
4A1	13	Feeders	Section 3 – Transmitters and receivers	A twin feeder cable A. can be burried underground to prevent interference. B. is balanced having equal and opposite signals in each wire. C. is unbalanced with one wire at ground and the other carrying the signal. D. has greater loss than a coaxial cable.			Please type in an answer...	B	FALSE
4A2	13	Feeders	Section 3 – Transmitters and receivers	Loss in feeders increases with A. the modulation used B. length of the feeder cable C. lower transmit frequencies D. higher gain antennas			Please type in an answer...	B	FALSE
4B1	13	Baluns	Section 4 – Feeders and antennas	A balun is primarily used to  A. increase the power fed to the antenna B. decrease the power fed to the antenna C. connect an unbalanced feeder to a balanced antenna D. protect against damage caused by static electricity			Please type in an answer...	C	FALSE
4C1	14	Antenna concecpts	Section 4 – Feeders and antennas	A vertical half wave dipole will radiate A. equally in all horizontal directions. B. a maximum signal in a vertical direction. C. a minimum signal at right-angles to the antenna. D. a maximum signal oﬀ the ends of the antenna.			Please type in an answer...	A	FALSE
4C2	14	Antenna concecpts	Section 4 – Feeders and antennas	The polar diagram shown is from A. a Yagi antenna B. a half wave dipole antenna C. a quarter wave vertical antenna D. a 5/8 vertical dipole antenna			Please type in an answer...	A	FALSE
4C3	14	Antenna concecpts	Section 4 – Feeders and antennas	The gain of an antenna is measured in A. Watts. B. Volts. C. Amps. D. dB.			Please type in an answer...	D	FALSE
4C4	14	Antenna concecpts	Section 4 – Feeders and antennas	6.1W ERP is equivalent to A. 6W. B. 6W EIRP. C. 10W EIRP. D.10W.			Please type in an answer...	C	FALSE
4C5	14	Antenna concecpts	Section 4 – Feeders and antennas	For best reception of UHF or VHF signals the antennas of both receiver and transmitter should both be: A. vertical. B. horizontal. C. in the same orientation. D. in any orientation.			Please type in an answer...	C	FALSE
4C6	14	Antenna concecpts	Section 4 – Feeders and antennas	The feed point impedance of an antenna is related to A. the cable used to connect to the antenna. B. the mode of transmission. C. the output power of the transmitter. D. the dimensions of the antenna and the wavelength of the applied signal.			Please type in an answer...	D	FALSE
4D1	14	Types of antennas	Section 4 – Feeders and antennas	The antenna shown in the diagram is A. a Yagi. B. a half wave dipole. C. a 5/8 dipole. D. an end fed antenna.			Please type in an answer...	A	FALSE
4E1	15	Standing waves	Section 4 – Feeders and antennas	An amateur changes band of operation but does not check the antenna is still matched. This might cause A. high levels of Standing Waves in the feeder. B. distortion of the transmitted signal. C. antenna overloading. D. interference to be caused on other bands.			Please type in an answer...	A	FALSE
4E2	15	Standing waves	Section 4 – Feeders and antennas	In a well designed and matched antenna system, measured SWR at the transceiver will be A. > 5:1 B. > 3:1 C. 2:1 D. < 1.5:1			Please type in an answer...	D	FALSE
4F1	15	Antenna matching units	Section 4 – Feeders and antennas	If an antenna is being used on a frequency for which it has not been designed A. measured SWR will be very low. B. antenna matching will be required. C. interference may be caused to adjacent channels D. the antenna could be damaged.			Please type in an answer...	B	FALSE
4G1	15	Dummy loads	Section 4 – Feeders and antennas	A dummy load is A. a weight used to obtain the correct tension on a long wire antenna B. a screened resistor that may be connected to the transmitter output without radiating C. a suitable resistor to connect to the power supply when the transmitter is disconnected D. used instead of the microphone when using a transceiver to receive only			Please type in an answer...	B	FALSE
4H1	15	Plugs and sockets	Section 4 – Feeders and antennas	The connector shown is a A. jack plug. B. PL259. C. SO238. D. BNC.			Please type in an answer...	D	FALSE
5A1	16	Radio propagation: key concepts	Section 5 – Propagation	Radio waves A. maintain their power as they propagate. B. normally travel in straight lines. C. always pass through the ionosphere. D. never pass through the ionosphere.			Please type in an answer...	B	FALSE
5A2	16	Radio propagation: key concepts	Section 5 – Propagation	Propagation of VHF and UHF frequencies is normally A. decreased with sporadic E B. refracted back to earth by the troposphere. C. not much beyond the  line of sight. D. not possible beyond the ionosphere.			Please type in an answer...	C	FALSE
5B1	16	Ionosphere	Section 5 – Propagation	The lowest layer of the ionosphere is at a height of about A. 800km B. 700m C. 70km D. 10km			Please type in an answer...	C	FALSE
5B2	16	Ionosphere	Section 5 – Propagation	HF propagation is NOT affected by the A. sun. B. time of day. C. day of the week. D. frequency used.			Please type in an answer...	C	FALSE
5C1	17	VHF and above	Section 5 – Propagation	VHF/UHF signals A. are unaffected by buildings B. become weaker as they pass through buildings. C. become stronger at higher frequencies D. are unaffected by atmospheric conditions.			Please type in an answer...	B	FALSE
5C2	17	VHF and above	Section 5 – Propagation	Snow, ice and rain have the most detrimental effect on which frequency range? A. LF B. HF C. VHF D. UHF			Please type in an answer...	D	FALSE
5C3	17	VHF and above	Section 5 – Propagation	A VHF transmitting antenna should be located  A. indoors, protected from the rain, wind and sun. B. outdoors, as high as practicable to avoid obstruction. C. close to the transmitter so you can easily adjust it to the correct length. D. at ground level to minimise interference.			Please type in an answer...	B	FALSE
6A1	18	EMC concepts	Section 6 – Electro magnetic compatibility (EMC)	Electromagnetic compatibility (EMC) means: A. the antenna is properly matched to the transmitter. B. the avoidance of interference between electronic equipment. C. ensuring electronic equipment generates small electromagnetic fields. D. amicrophone will work correctly when connected to a transmitter.			Please type in an answer...	B	FALSE
6A2	18	EMC concepts	Section 6 – Electro magnetic compatibility (EMC)	A radio amateur’s transmission is LEAST likely to cause interference to A. other amateurs. B. other radio users. C. an electric drill. D. an electronic security alarm.			Please type in an answer...	C	FALSE
6A3	18	EMC concepts	Section 6 – Electro magnetic compatibility (EMC)	An amateur radio transmitter can cause electromagnetic interference to A. electric drills. B. vacuum cleaners. C. lawn mowers. D. electronic equipment			Please type in an answer...	D	FALSE
6A4	18	EMC concepts	Section 6 – Electro magnetic compatibility (EMC)	Which of the following will NOT cause interference with the operation of a radio receiver? A. A lawn mower. B. An electric drill. C. Central heating controls. D. A SWR meter.			Please type in an answer...	D	FALSE
6B1	19	Sources of interference and their effects	Section 6 – Electro magnetic compatibility (EMC)	Which of the following will NOT  lead to an increase in risk of causing electromagnetic interference? A. Changing from SSB to FM transmission. B. Increasing the transmit power. C. Changing from PSK to Morse code transmission. D. Increasing the microphone gain.			Please type in an answer...	A	FALSE
6C1	19	Routes of entry	Section 6 – Electro magnetic compatibility (EMC)	Which of the following is least likely to provide a route of entry of interference into domestic TV equipment. A. Feeder from the antenna to the transmitter. B. Electronic components inside the TV. C. Audio speaker leads. D. RF earth rod.			Please type in an answer...	D	FALSE
6D1	19	Filtering and remedial measures	Section 6 – Electro magnetic compatibility (EMC)	Immunity to interference from most sources can be increased by A. Fitting chokes and filters in mains or antenna leads. B. Using longer mains leads to the TV. C. Fitting a preamplifier to the TV antenna input. D. Fitting a higher rated fuse to the TV plug.			Please type in an answer...	A	FALSE
6D4	19	Filtering and remedial measures	Section 6 – Electro magnetic compatibility (EMC)	A dummy load is used A. to test if RF signals are being conducted out of a transmitter through its power cables. B. to test the power being sent to the headphones in a receiver C. to match an aerial to a feeder D to test the setting of the microphone gain on the transmitter.			Please type in an answer...	A	FALSE
6E1	19	Station design and antenna placement / general principles	Section 6 – Electro magnetic compatibility (EMC)	EMC problems can be minimised by A. using end fed long wire antennas. B. locating antennas as close as possible to houses. C. siting antennas as high and as far away from houses as possible. D. using loft antennas.			Please type in an answer...	C	FALSE
6E2	19	Station design and antenna placement / general principles	Section 6 – Electro magnetic compatibility (EMC)	An RF earth terminal of a transmitter should be connected to A. the metal pipework in the central heating system. B. the earth pin of the mains plug. C. the mains earth at the fuse box . D. a long copper rod buried in damp ground.			Please type in an answer...	D	FALSE
6F1	19	Station design and antenna placement / general principles	Section 6 – Electro magnetic compatibility (EMC)	When fitting a transceiver in a vehicle, whose reasonability is it to ensure that the installation is in accordance with  vehicles electrical and management systems? A. The vehicle owner. B. The police. C. The driver's insurance company. D. The transceiver manufacturer.			Please type in an answer...	A	FALSE
6F2	19	Station design and antenna placement / mobile installations	Section 6 – Electro magnetic compatibility (EMC)	After fitting a transceiver in a vehicle, testing of the installation A. should be done with the vehicle stationary and all vehicles electrical systems running. B. should be done with the vehicle moving on the road and with all vehicle electrical systems running. C. is not required. D. is only required if specified by the vehicles insurers.			Please type in an answer...	A	FALSE
6F3	19	Station design and antenna placement / mobile installations	Section 6 – Electro magnetic compatibility (EMC)	Which of the following is most likely to cause problems to an amateur radio receiver in a vehicle? A. Ignition Systems. B. Headlights control. C. Brake Lights. D. Automatic gearbox.			Please type in an answer...	A	FALSE
6G1	20	Social aspects and testing	Section 6 – Electro magnetic compatibility (EMC)	Your neighbour comes to your door and complains that the interference he is getting on his TV is being caused by your radio transmissions. You should A. offer to carry out test transmissions with his co-operation to verify his allegation. B. explain that it cannot be your radio transmissions as your equipment is 'CE' approved C. advice him to contact Ofcom for advice D. request that he comes to you with proof of his allegation.			Please type in an answer...	A	FALSE
6G2	20	Social aspects and testing	Section 6 – Electro magnetic compatibility (EMC)	A good reason for keeping a log of all transmission is because A. It will make it easier to check allegations of interference. B. it is required by Ofcom. C. it is a requirement of the amateur radio licence. D. it will help support an application for planning permission for an antenna.			Please type in an answer...	A	FALSE
7A1	21	Good operating practices and procedures	Section 7 – Operating practices and procedures	Before transmitting you should first listen on a frequency and then ask if the frequency is clear because A. the frequency may be in use but one of the stations may be in a location where you can't receive their signal. B. it is a requirement of the amateur radio licence. C. this lets other amateur radio operators know that you are about to commence a QSO. D. it is considered to be polite to commence all new QSO's in this way.			Please type in an answer...	A	FALSE
7A2	21	Good operating practices and procedures	Section 7 – Operating practices and procedures	When calling "CQ, this is M7ABC calling CQ on 20 meters" you should A. repeat the sequence several times in quick succession over a period of 20 - 30 seconds, then listen for several seconds B. call the sequence once and then listen for several seconds in between each C. repeat the sequence several times in quick succession, moving the transmit frequency up a few kHz each time. D. repeat the sequence several times in quick succession, moving the transmit frequency down a few kHz each time			Please type in an answer...	A	FALSE
7A3	21	Good operating practices and procedures	Section 7 – Operating practices and procedures	Once you have contacted another station on a VHF FM calling channel you should A. remain on the frequency until another station wishes to use it. B. remain on the frequency as long as the contact takes. C. ask if the frequency is clear. D. change frequency to a suitable clear channel.			Please type in an answer...	D	FALSE
7A4	21	Good operating practices and procedures	Section 7 – Operating practices and procedures	The correct phonetic spelling of ‘SIGNAL’ is A. SIERRA ITALY GOLF NOVEMBER APPLE LIMA B. SIERRA ITALY GOLF NORWAY ALPHA LIMA C. SIERRA INDIA GOLF NOVEMBER ALPHA LIMA D. SUGAR INDIA GOLF NOVEMBER ALPHA LIMA			Please type in an answer...	C	FALSE
7A5	21	Good operating practices and procedures	Section 7 – Operating practices and procedures	If a log is recorded for obtaining a QSL or contest confirmation it should contain at least A. date, time (UTC), mode, callsign of station worked. B. date, time (UTC), mode, radio model, antenna type C. date, time (Local Time), mode, callsign of station worked. D. date, time (Local Time), mode, radio model, antenna type			Please type in an answer...	A	FALSE
7A6	21	Good operating practices and procedures	Section 7 – Operating practices and procedures	If hearing bad language or inappropriate behaviour on air you should A. ignore it without comment and do not refer to it on air. B. ignore it and warn people on air on other frequencies to avoid it. C. reprimand the person responsible over the air. D. complain to the local council.			Please type in an answer...	A	FALSE
7B1	22	Band plans	Section 7 – Operating practices and procedures	Band plans are used because A. using them is a condition of the licence. B. they help prevent on-air abuse. C. they enable efficient use of the band for diﬀerent modes. D. they are required for radio competitions			Please type in an answer...	C	FALSE
7B2	22	Band plans	Section 7 – Operating practices and procedures	A badly setup transmitter operating on 50.1 MHz is also radiating on 150.3MHz. Which service might be affected? A. Broadcast Radio B. Aeronautical mobile C. Radio Astronomy D. Maritime Mobile			Please type in an answer...	C	FALSE
7C1	22	Band plans	Section 7 – Operating practices and procedures	A 2m repeater transmits on 145.600MHz. To which frequency should you tune your transmitter in order to use this repeater? A. 146.200MHz B. 145.600MHz C. 145.000MHz D. 144.000MHz			Please type in an answer...	C	FALSE
7D1	23	Connecting input devices to transmitters	Section 7 – Operating practices and procedures	If using a microphone, other than the one supplied with the transceiver you should A. ensure that the PTT and audio levels are correct. B. use a separate PTT switch. C. use a separate microphone pre-amplifier. D. re-check the SWR.			Please type in an answer...	A	FALSE
7E2	23	Codes and abbreviations	Section 7 – Operating practices and procedures	You are having a contact (QSO) with another amateur and he reports your signal as ‘5 and 5’. This means that he is reading your transmission: A. Excellent audio and very strong signal strength B. Average audio and a very strong signal strength C. Excellent Audio with an average signal strength D. Average Audio with an average signal strength			Please type in an answer...	C	FALSE
7F1	23	Digital interfaces	Section 7 – Operating practices and procedures	Digital Voice (DV) radios A. may have the owners callsign embedded in the configuration. B. are interoperable across all systems. C. automatically check to see if a channel is in use. D. cause more interference than SSB radios			Please type in an answer...	A	FALSE
7F2	23	Digital interfaces	Section 7 – Operating practices and procedures	When using FM or DV at 145.550 MHz you should first A. check if the repeater is being used for other modes. B. open the receiver squelch and check for other modes. C. ask if the frequency is in use and listen for a reply. D. wait till you hear the repeater’s callsign and then call with your callsign.			Please type in an answer...	B	FALSE
7G1	23	Satellites	Section 7 – Operating practices and procedures	Terrestrial contacts on the portion of the amateur bands shown as allocated to satellites A. are strongly discouraged. B. should be used with vertical polarisation. C. must be used with horizontal polarisation. D. cannot be used during daylight.			Please type in an answer...	A	FALSE
8A1	24	Electricity	Section 8 – Safety	A linear amplifier has a high voltage section running at 1200 volts at 500mA the potential danger through misuse is A. Electrocution. B. Fire. C. Lightning. D. Interference.			Please type in an answer...	A	FALSE
8A2	24	Electricity	Section 8 – Safety	When using mains powered equipment A. it should be connected to a safety earth B. the safety earth must be connected to the RF earth. C. the safety earth becomes unnecessary D. the RF earth becomes unnecessary.			Please type in an answer...	A	FALSE
8A3	24	Electricity	Section 8 – Safety	The correct way to wire a UK 3-pin plug is A. Green/Yellow to Earth, Brown to Live, Blue to Neutral B. Brown to Earth, Red to Live, Blue to Neutral C. Brown to Earth, Green/Yellow to Live, Blue to Neutral D. Green/Yellow to Earth, Brown to Neutral, Red to Live			Please type in an answer...	A	FALSE
8A4	24	Electricity	Section 8 – Safety	In the event that a fuse blows you should A. find out the cause of the problem. B. replace the fuse with one of a higher rating. C. measure the voltage across the fuse. D. return the affected equipment to the place of purchase.			Please type in an answer...	A	FALSE
8A5	24	Electricity	Section 8 – Safety	A Residual Current Circuit Breaker with Overcurrent Protection (RCBO) will stop mains power in a circuit: A. Only when there is a current leakage to earth above its leakage threshold. B. Only when there is an excessive current in the circuit above the current threshold. C. When there is both earth leakage and excessive current above the device threshold. D. When there is either earth leakage or excessive current above the device threshold.			Please type in an answer...	D	FALSE
8A6	24	Electricity	Section 8 – Safety	When carrying out maintenance or repair work on electronic equipment you should A. follow the manufacturers guidelines for servicing the equipment. B. ensure that the correct fuse is fitted to the mains plug. C. ensure that part of you is in contact with the metal chassis. D. have someone else present with you in the room.			Please type in an answer...	A	FALSE
8A7	24	Electricity	Section 8 – Safety	The mains power switch to the radio shack should be A. difficult to reach. B. key operated to prevent use by non-licensed persons. C. switched oﬀ at all times. D. in a clearly marked position			Please type in an answer...	D	FALSE
8A8	24	Electricity	Section 8 – Safety	One feature of Nicad (NiCad), Nickel Metal Hydride (NIMH) and Lithium batteries is that A. they all have different charging requirements and must only be used with the recommended charger. B. the terminal voltages are all the same allowing almost any charger to be safely used.  C  they may be safely discarded in the household waste or a litter bin in the street. D. they must be kept fully charged at all times to ensure a long life.			Please type in an answer...	A	FALSE
8B1	25	Using tools	Section 8 – Safety	When using power tools it is A. advisable to wear eye protection. B. advisable to wear ear protection. C. essential to wear breathing protection. D. essential to wear gloves.			Please type in an answer...	A	FALSE
8B2	25	Using tools	Section 8 – Safety	What safety considerations should you bear in mind when using power tools rather than hand tools? A. Power tools can do more damage and don’t stop instantly. B. Power tools can produce a neater and more accurate job. C. It is a lot less effort when using power tools. D. The job can be completed much more quickly.			Please type in an answer...	A	FALSE
8B7	25	Using tools	Section 8 – Safety	Soldering work stations: A. Require an emergency cut oﬀ switch in case the soldering tip comes into contact with the skin. B. Should be well ventilated to avoid inhaling fumes. C. Must be on an anti-static surface. D. Must be earthed.			Please type in an answer...	B	FALSE
8C1	25	Working at height	Section 8 – Safety	Why should two people be present during antenna erection? A. Because working at heights is risky and someone my be needed to fetch help. B. Because there needs to be someone on the ground who can see what needs doing. C. Because it saves constantly going up and down the ladder to read the SWR meter. D. Because the person doing the work will often need a hand.			Please type in an answer...	A	FALSE
8C2	25	Working at height	Section 8 – Safety	Overreaching when on a ladder may cause A. concern to passers by B. the person to fall off the ladder C. a hard hat to give less protection D. a poorly constructed or loose fitting job			Please type in an answer...	B	FALSE
8C3	25	Working at height	Section 8 – Safety	The main purpose of wearing a tool belt when up a ladder is to A. prevent the tools being damaged B. provide a strong belt to tie to the ladder for safety C. avoid having to repeatedly climb the ladder D. reduce the risk of dropping tools			Please type in an answer...	D	FALSE
8D1	26	Working with RF	Section 8 – Safety	Which part of the body is MOST susceptible to the effect of exposure to electromagnetic radiation? A. The arms. B. The torso. C. The head. D. The eyes.			Please type in an answer...	D	FALSE
8D2	26	Working with RF	Section 8 – Safety	The ICNIRP is of interest to amateurs because it A. oversees the preparation of the International Radio Regulations B. produces guidance on the safe levels of RF exposure C. co-ordinates the launch of amateur and other satellites D. produces the International version of the Amateur Band Plans			Please type in an answer...	B	FALSE
8D3	26	Working with RF	Section 8 – Safety	The main risk when looking down waveguides is that A. microwave radiation could overheat your eye B. waveguides have very sharp edges and can cut C. you could be accidentally stabbed in the eye D. dust and small particles could be blown into the eyes			Please type in an answer...	A	FALSE
8D4	26	Working with RF	Section 8 – Safety	Antennas connected to transmitting equipment A. should be mounted where they cannot accidentally be touched when in use. B. should be placed where they can easily be manually adjusted. C. must be connected with the shortest possible feeder. D. always require an antenna matching unit.			Please type in an answer...	A	FALSE
8E1	26	Lightning	Section 8 – Safety	When installing antennas high above the ground or in areas of high elevation A. measures should be taken to protect against lightning. B. warning lights should be fitted at the top to warn aircraft. C. twin feeder should be used. D. the mast should be insulated from the ground.			Please type in an answer...	A	FALSE
8F1	26	Working mobile and portable	Section 8 – Safety	When working a portable field station, feeder cables must be A. as long as possible. B. located away from overhead power cables. C. run along the ground to the antenna mast. D. as short as possible			Please type in an answer...	B	FALSE
8F2	26	Working mobile and portable	Section 8 – Safety	When operating a portable station A. care should be taken to avoid trailing wires. B. asuitable amperage fuse should be installed at the generator to avoid electrocution. C. the local council should be informed D. Residual Current Circuit Breakers are not required.			Please type in an answer...	A	FALSE
8F3	26	Working mobile and portable	Section 8 – Safety	Using excessive volume when wearing headphones can result in A. complaints from neighbours about the noise B. damage to your transmitter C. overloading your receiver D. damage to your hearing			Please type in an answer...	D	FALSE
